Id,Name,"Species Id",Height,Weight,"Base Experience",Order,"Is Default"
700,Sylveon,700,10,235,184,224,1
701,Hawlucha,701,8,215,175,835,1
702,Dedenne,702,2,22,151,836,1
703,Carbink,703,3,57,100,837,1
704,Goomy,704,3,28,60,838,1
705,Sliggoo,705,8,175,158,839,1
706,Goodra,706,20,1505,300,840,1
707,Klefki,707,2,30,165,841,1
708,Phantump,708,4,70,62,842,1
709,Trevenant,709,15,710,166,843,1
710,"Pumpkaboo Average",710,4,50,67,844,1
711,"Gourgeist Average",711,9,125,173,848,1
712,Bergmite,712,10,995,61,852,1
713,Avalugg,713,20,5050,180,853,1
714,Noibat,714,5,80,49,854,1
715,Noivern,715,15,850,187,855,1
716,Xerneas,716,30,2150,340,856,1
717,Yveltal,717,58,2030,340,857,1
718,"Zygarde 50",718,50,3050,300,858,1
719,Diancie,719,7,88,300,863,1
720,Hoopa,720,5,90,270,865,1
721,Volcanion,721,17,1950,300,867,1
722,Rowlet,722,3,15,64,868,1
723,Dartrix,723,7,160,147,869,1
724,Decidueye,724,16,366,265,870,1
725,Litten,725,4,43,64,871,1
726,Torracat,726,7,250,147,872,1
727,Incineroar,727,18,830,265,873,1
728,Popplio,728,4,75,64,874,1
729,Brionne,729,6,175,147,875,1
730,Primarina,730,18,440,265,876,1
731,Pikipek,731,3,12,53,877,1
732,Trumbeak,732,6,148,124,878,1
733,Toucannon,733,11,260,218,879,1
734,Yungoos,734,4,60,51,880,1
735,Gumshoos,735,7,142,146,881,1
736,Grubbin,736,4,44,60,883,1
737,Charjabug,737,5,105,140,884,1
738,Vikavolt,738,15,450,250,885,1
739,Crabrawler,739,6,70,68,887,1
740,Crabominable,740,17,1800,167,888,1
741,"Oricorio Baile",741,6,34,167,889,1
742,Cutiefly,742,1,2,61,893,1
743,Ribombee,743,2,5,162,894,1
744,Rockruff,744,5,92,56,896,1
745,"Lycanroc Midday",745,8,250,170,898,1
746,"Wishiwashi Solo",746,2,3,61,901,1
747,Mareanie,747,4,80,61,903,1
748,Toxapex,748,7,145,173,904,1
749,Mudbray,749,10,1100,77,905,1
750,Mudsdale,750,25,9200,175,906,1
751,Dewpider,751,3,40,54,907,1
752,Araquanid,752,18,820,159,908,1
753,Fomantis,753,3,15,50,910,1
754,Lurantis,754,9,185,168,911,1
755,Morelull,755,2,15,57,913,1
756,Shiinotic,756,10,115,142,914,1
757,Salandit,757,6,48,64,915,1
758,Salazzle,758,12,222,168,916,1
759,Stufful,759,5,68,68,918,1
760,Bewear,760,21,1350,175,919,1
761,Bounsweet,761,3,32,42,920,1
762,Steenee,762,7,82,102,921,1
763,Tsareena,763,12,214,255,922,1
764,Comfey,764,1,3,170,923,1
765,Oranguru,765,15,760,172,924,1
766,Passimian,766,20,828,172,925,1
767,Wimpod,767,5,120,46,926,1
768,Golisopod,768,20,1080,186,927,1
769,Sandygast,769,5,700,64,928,1
770,Palossand,770,13,2500,168,929,1
771,Pyukumuku,771,3,12,144,930,1
772,"Type Null",772,19,1205,107,931,1
773,Silvally,773,23,1005,285,932,1
774,"Minior Red Meteor",774,3,400,154,933,1
775,Komala,775,4,199,168,947,1
776,Turtonator,776,20,2120,170,948,1
777,Togedemaru,777,3,33,152,949,1
778,"Mimikyu Disguised",778,2,7,167,951,1
779,Bruxish,779,9,190,166,955,1
780,Drampa,780,30,1850,170,956,1
781,Dhelmise,781,39,2100,181,957,1
782,"Jangmo O",782,6,297,60,958,1
783,"Hakamo O",783,12,470,147,959,1
784,"Kommo O",784,16,782,300,960,1
785,"Tapu Koko",785,18,205,285,962,1
786,"Tapu Lele",786,12,186,285,963,1
787,"Tapu Bulu",787,19,455,285,964,1
788,"Tapu Fini",788,13,212,285,965,1
789,Cosmog,789,2,1,40,966,1
790,Cosmoem,790,1,9999,140,967,1
791,Solgaleo,791,34,2300,340,968,1
792,Lunala,792,40,1200,340,969,1
793,Nihilego,793,12,555,285,970,1
794,Buzzwole,794,24,3336,285,971,1
795,Pheromosa,795,18,250,285,972,1
796,Xurkitree,796,38,1000,285,973,1
797,Celesteela,797,92,9999,285,974,1
798,Kartana,798,3,1,285,975,1
799,Guzzlord,799,55,8880,285,976,1
800,Necrozma,800,24,2300,300,977,1
801,Magearna,801,10,805,300,981,1
802,Marshadow,802,7,222,300,983,1
803,Poipole,803,6,18,210,984,1
804,Naganadel,804,36,1500,270,985,1
805,Stakataka,805,55,8200,285,986,1
806,Blacephalon,806,18,130,285,987,1
807,Zeraora,807,15,445,300,988,1
808,Meltan,808,2,80,150,989,1
809,Melmetal,809,25,8000,300,990,1
810,Grookey,810,3,50,62,991,1
811,Thwackey,811,7,140,147,992,1
812,Rillaboom,812,21,900,265,993,1
813,Scorbunny,813,3,45,62,994,1
814,Raboot,814,6,90,147,995,1
815,Cinderace,815,14,330,265,996,1
816,Sobble,816,3,40,62,997,1
817,Drizzile,817,7,115,147,998,1
818,Inteleon,818,19,452,265,999,1
819,Skwovet,819,3,25,55,1000,1
820,Greedent,820,6,60,161,1001,1
821,Rookidee,821,2,18,49,1002,1
822,Corvisquire,822,8,160,128,1003,1
823,Corviknight,823,22,750,248,1004,1
824,Blipbug,824,4,80,36,1005,1
825,Dottler,825,4,195,117,1006,1
826,Orbeetle,826,4,408,253,1007,1
827,Nickit,827,6,89,49,1008,1
828,Thievul,828,12,199,159,1009,1
829,Gossifleur,829,4,22,50,1010,1
830,Eldegoss,830,5,25,161,1011,1
831,Wooloo,831,6,60,122,1012,1
832,Dubwool,832,13,430,172,1013,1
833,Chewtle,833,3,85,57,1014,1
834,Drednaw,834,10,1155,170,1015,1
835,Yamper,835,3,135,54,1016,1
836,Boltund,836,10,340,172,1017,1
837,Rolycoly,837,3,120,48,1018,1
838,Carkol,838,11,780,144,1019,1
839,Coalossal,839,28,3105,255,1020,1
840,Applin,840,2,5,52,1021,1
841,Flapple,841,3,10,170,1022,1
842,Appletun,842,4,130,170,1023,1
843,Silicobra,843,22,76,63,1024,1
844,Sandaconda,844,38,655,179,1025,1
845,Cramorant,845,8,180,166,1026,1
846,Arrokuda,846,5,10,56,1029,1
847,Barraskewda,847,13,300,172,1030,1
848,Toxel,848,4,110,48,1031,1
849,"Toxtricity Amped",849,16,400,176,1032,1
850,Sizzlipede,850,7,10,61,1034,1
851,Centiskorch,851,30,1200,184,1035,1
852,Clobbopus,852,6,40,62,1036,1
853,Grapploct,853,16,390,168,1037,1
854,Sinistea,854,1,2,62,1038,1
855,Polteageist,855,2,4,178,1039,1
856,Hatenna,856,4,34,53,1040,1
857,Hattrem,857,6,48,130,1041,1
858,Hatterene,858,21,51,255,1042,1
859,Impidimp,859,4,55,53,1043,1
860,Morgrem,860,8,125,130,1044,1
861,Grimmsnarl,861,15,610,255,1045,1
862,Obstagoon,862,16,460,260,1046,1
863,Perrserker,863,8,280,154,1047,1
864,Cursola,864,10,4,179,1048,1
865,Sirfetchd,865,8,1170,177,1049,1
866,"Mr Rime",866,15,582,182,1050,1
867,Runerigus,867,16,666,169,1051,1
868,Milcery,868,2,3,54,1052,1
869,Alcremie,869,3,5,173,1053,1
870,Falinks,870,30,620,165,1054,1
871,Pincurchin,871,3,10,152,1055,1
872,Snom,872,3,38,37,1056,1
873,Frosmoth,873,13,420,166,1057,1
874,Stonjourner,874,25,5200,165,1058,1
875,"Eiscue Ice",875,14,890,165,1059,1
876,"Indeedee Male",876,9,280,166,1061,1
877,"Morpeko Full Belly",877,3,30,153,1063,1
878,Cufant,878,12,1000,66,1065,1
879,Copperajah,879,30,6500,175,1066,1
880,Dracozolt,880,18,1900,177,1067,1
881,Arctozolt,881,23,1500,177,1068,1
882,Dracovish,882,23,2150,177,1069,1
883,Arctovish,883,20,1750,177,1070,1
884,Duraludon,884,18,400,187,1071,1
885,Dreepy,885,5,20,54,1072,1
886,Drakloak,886,14,110,144,1073,1
887,Dragapult,887,30,500,300,1074,1
888,Zacian,888,28,1100,335,1075,1
889,Zamazenta,889,29,2100,335,1077,1
890,Eternatus,890,200,9500,345,1079,1
891,Kubfu,891,6,120,77,1081,1
892,"Urshifu Single Strike",892,19,1050,275,1082,1
893,Zarude,893,18,700,300,1084,1
894,Regieleki,894,12,1450,290,1086,1
895,Regidrago,895,21,2000,290,1087,1
896,Glastrier,896,22,8000,290,1088,1
897,Spectrier,897,20,445,290,1089,1
898,Calyrex,898,11,77,250,1090,1
899,Wyrdeer,899,18,951,263,,1
900,Kleavor,900,18,890,175,,1
901,Ursaluna,901,24,2900,275,,1
902,"Basculegion Male",902,30,1100,265,,1
903,Sneasler,903,13,430,102,,1
904,Overqwil,904,25,605,179,,1
905,"Enamorus Incarnate",905,16,480,116,,1
906,Sprigatito,906,4,41,62,906,1
907,Floragato,907,9,122,144,907,1
908,Meowscarada,908,15,312,265,908,1
909,Fuecoco,909,4,98,62,909,1
910,Crocalor,910,10,307,144,910,1
911,Skeledirge,911,16,3265,265,911,1
912,Quaxly,912,5,61,62,912,1
913,Quaxwell,913,12,215,144,913,1
914,Quaquaval,914,18,619,265,914,1
915,Lechonk,915,5,102,51,915,1
916,"Oinkologne Male",916,10,1200,171,916,1
917,Tarountula,917,3,40,42,918,1
918,Spidops,918,10,165,141,919,1
919,Nymble,919,2,10,42,920,1
920,Lokix,920,10,175,158,921,1
921,Pawmi,921,3,25,48,954,1
922,Pawmo,922,4,65,123,955,1
923,Pawmot,923,9,410,245,956,1
924,Tandemaus,924,3,18,61,945,1
925,"Maushold Family Of Four",925,3,23,165,946,1
926,Fidough,926,3,109,62,970,1
927,Dachsbun,927,5,149,167,971,1
928,Smoliv,928,3,65,52,935,1
929,Dolliv,929,6,119,124,936,1
930,Arboliva,930,14,482,255,937,1
931,"Squawkabilly Green Plumage",931,6,24,146,960,1
932,Nacli,932,4,160,56,963,1
933,Naclstack,933,6,1050,124,964,1
934,Garganacl,934,23,2400,250,965,1
935,Charcadet,935,6,105,51,1003,1
936,Armarouge,936,15,850,263,1004,1
937,Ceruledge,937,16,620,263,1005,1
938,Tadbulb,938,3,4,54,940,1
939,Bellibolt,939,12,1130,173,941,1
940,Wattrel,940,4,36,56,957,1
941,Kilowattrel,941,14,386,172,958,1
942,Maschiff,942,5,160,68,972,1
943,Mabosstiff,943,11,610,177,973,1
944,Shroodle,944,2,7,58,968,1
945,Grafaiai,945,7,272,170,969,1
946,Bramblin,946,6,6,55,974,1
947,Brambleghast,947,12,60,168,975,1
948,Toedscool,948,9,330,67,1006,1
949,Toedscruel,949,19,580,180,1007,1
950,Klawf,950,13,790,158,962,1
951,Capsakid,951,3,30,61,938,1
952,Scovillain,952,9,150,170,939,1
953,Rellor,953,2,10,54,922,1
954,Rabsca,954,3,35,165,923,1
955,Flittle,955,2,15,51,926,1
956,Espathra,956,19,900,168,927,1
957,Tinkatink,957,4,89,59,1000,1
958,Tinkatuff,958,7,591,133,1001,1
959,Tinkaton,959,7,1128,253,1002,1
960,Wiglett,960,12,18,49,929,1
961,Wugtrio,961,12,54,149,930,1
962,Bombirdier,962,15,429,243,959,1
963,Finizen,963,13,602,63,933,1
964,"Palafin Zero",964,13,602,160,934,1
965,Varoom,965,10,350,60,942,1
966,Revavroom,966,18,1200,175,943,1
967,Cyclizar,967,16,630,175,953,1
968,Orthworm,968,25,3100,240,944,1
969,Glimmet,969,7,80,70,966,1
970,Glimmora,970,15,450,184,967,1
971,Greavard,971,6,350,58,924,1
972,Houndstone,972,20,150,171,925,1
973,Flamigo,973,16,370,175,961,1
974,Cetoddle,974,12,450,67,947,1
975,Cetitan,975,45,7000,182,948,1
976,Veluza,976,25,900,167,932,1
977,Dondozo,977,120,2200,265,931,1
978,"Tatsugiri Curly",978,3,80,166,952,1
979,Annihilape,979,12,560,268,1010,1
980,Clodsire,980,18,2230,151,1009,1
981,Farigiraf,981,32,1600,260,928,1
982,"Dudunsparce Two Segment",982,36,392,182,917,1
983,Kingambit,983,20,1200,275,1008,1
984,"Great Tusk",984,22,3200,285,978,1
985,"Scream Tail",985,12,80,285,982,1
986,"Brute Bonnet",986,12,210,285,979,1
987,"Flutter Mane",987,14,40,285,983,1
988,"Slither Wing",988,32,920,285,984,1
989,"Sandy Shocks",989,23,600,285,981,1
990,"Iron Treads",990,9,2400,285,986,1
991,"Iron Bundle",991,6,110,285,992,1
992,"Iron Hands",992,18,3807,285,989,1
993,"Iron Jugulis",993,13,1110,285,990,1
994,"Iron Moth",994,12,360,285,988,1
995,"Iron Thorns",995,16,3030,285,991,1
996,Frigibax,996,5,170,64,949,1
997,Arctibax,997,8,300,148,950,1
998,Baxcalibur,998,21,2100,300,951,1
999,Gimmighoul,999,3,50,60,976,1
1000,Gholdengo,1000,12,300,275,977,1
1001,"Wo Chien",1001,15,742,285,996,1
1002,"Chien Pao",1002,19,1522,285,995,1
1003,"Ting Lu",1003,27,6997,285,994,1
1004,"Chi Yu",1004,4,49,285,997,1
1005,"Roaring Moon",1005,20,3800,295,985,1
1006,"Iron Valiant",1006,14,350,295,993,1
1007,Koraidon,1007,25,3030,335,998,1
1008,Miraidon,1008,35,2400,335,999,1
1009,"Walking Wake",1009,35,2800,295,1093,1
1010,"Iron Leaves",1010,15,1250,295,1094,1
1011,Dipplin,1011,4,97,170,1095,1
1012,Poltchageist,1012,1,11,62,1096,1
1013,Sinistcha,1013,2,22,178,1097,1
1014,Okidogi,1014,18,922,278,1098,1
1015,Munkidori,1015,10,122,278,1099,1
1016,Fezandipiti,1016,14,301,278,1100,1
1017,Ogerpon,1017,12,398,275,1101,1
1018,Archaludon,1018,20,600,300,1102,1
1019,Hydrapple,1019,18,930,270,1103,1
1020,"Gouging Fire",1020,35,5900,295,1104,1
1021,"Raging Bolt",1021,52,4800,295,1105,1
1022,"Iron Boulder",1022,15,1625,295,1106,1
1023,"Iron Crown",1023,16,1560,295,1107,1
1024,Terapagos,1024,2,65,90,1108,1
1025,Pecharunt,1025,3,3,300,1109,1
10001,"Deoxys Attack",386,17,608,270,515,0
10002,"Deoxys Defense",386,17,608,270,516,0
10003,"Deoxys Speed",386,17,608,270,517,0
10004,"Wormadam Sandy",413,5,65,148,543,0
10005,"Wormadam Trash",413,5,65,148,544,0
10006,"Shaymin Sky",492,4,52,270,607,0
10007,"Giratina Origin",487,69,6500,340,601,0
10008,"Rotom Heat",479,3,3,182,588,0
10009,"Rotom Wash",479,3,3,182,589,0
10010,"Rotom Frost",479,3,3,182,590,0
10011,"Rotom Fan",479,3,3,182,591,0
10012,"Rotom Mow",479,3,3,182,592,0
10013,"Castform Sunny",351,3,8,147,465,0
10014,"Castform Rainy",351,3,8,147,466,0
10015,"Castform Snowy",351,3,8,147,467,0
10016,"Basculin Blue Striped",550,10,180,161,667,0
10017,"Darmanitan Zen",555,13,929,189,674,0
10018,"Meloetta Pirouette",648,6,65,270,778,0
10019,"Tornadus Therian",641,14,630,290,765,0
10020,"Thundurus Therian",642,30,610,290,767,0
10021,"Landorus Therian",645,13,680,300,771,0
10022,"Kyurem Black",646,33,3250,350,774,0
10023,"Kyurem White",646,36,3250,350,773,0
10024,"Keldeo Resolute",647,14,485,290,776,0
10025,"Meowstic Female",678,6,85,163,812,0
10026,"Aegislash Blade",681,17,530,250,816,0
10027,"Pumpkaboo Small",710,3,35,67,845,0
10028,"Pumpkaboo Large",710,5,75,67,846,0
10029,"Pumpkaboo Super",710,8,150,67,847,0
10030,"Gourgeist Small",711,7,95,173,849,0
10031,"Gourgeist Large",711,11,140,173,850,0
10032,"Gourgeist Super",711,17,390,173,851,0
10033,"Venusaur Mega",3,24,1555,281,4,0
10034,"Charizard Mega X",6,17,1105,285,8,0
10035,"Charizard Mega Y",6,17,1005,285,9,0
10036,"Blastoise Mega",9,16,1011,284,13,0
10037,"Alakazam Mega",65,12,480,270,106,0
10038,"Gengar Mega",94,14,405,270,150,0
10039,"Kangaskhan Mega",115,22,1000,207,185,0
10040,"Pinsir Mega",127,17,590,210,208,0
10041,"Gyarados Mega",130,65,3050,224,212,0
10042,"Aerodactyl Mega",142,21,790,215,233,0
10043,"Mewtwo Mega X",150,23,1270,351,246,0
10044,"Mewtwo Mega Y",150,15,330,351,247,0
10045,"Ampharos Mega",181,14,615,275,276,0
10046,"Scizor Mega",212,20,1250,210,198,0
10047,"Heracross Mega",214,17,625,210,311,0
10048,"Houndoom Mega",229,19,495,210,331,0
10049,"Tyranitar Mega",248,25,2550,315,343,0
10050,"Blaziken Mega",257,19,520,284,354,0
10051,"Gardevoir Mega",282,16,484,278,383,0
10052,"Mawile Mega",303,10,235,168,408,0
10053,"Aggron Mega",306,22,3950,284,412,0
10054,"Medicham Mega",308,13,315,179,415,0
10055,"Manectric Mega",310,18,440,201,418,0
10056,"Banette Mega",354,12,130,194,471,0
10057,"Absol Mega",359,12,490,198,479,0
10058,"Garchomp Mega",445,19,950,315,571,0
10059,"Lucario Mega",448,13,575,219,574,0
10060,"Abomasnow Mega",460,27,1850,208,586,0
10061,"Floette Eternal",670,2,9,243,803,0
10062,"Latias Mega",380,18,520,315,504,0
10063,"Latios Mega",381,23,700,315,506,0
10064,"Swampert Mega",260,19,1020,286,358,0
10065,"Sceptile Mega",254,19,552,284,350,0
10066,"Sableye Mega",302,5,1610,168,406,0
10067,"Altaria Mega",334,15,206,207,447,0
10068,"Gallade Mega",475,16,564,278,385,0
10069,"Audino Mega",531,15,320,425,647,0
10070,"Sharpedo Mega",319,25,1303,196,430,0
10071,"Slowbro Mega",80,20,1200,207,128,0
10072,"Steelix Mega",208,105,7400,214,153,0
10073,"Pidgeot Mega",18,22,505,261,24,0
10074,"Glalie Mega",362,21,3502,203,482,0
10075,"Diancie Mega",719,11,278,315,864,0
10076,"Metagross Mega",376,25,9429,315,499,0
10077,"Kyogre Primal",382,98,4300,347,508,0
10078,"Groudon Primal",383,50,9997,347,510,0
10079,"Rayquaza Mega",384,108,3920,351,512,0
10080,"Pikachu Rock Star",25,4,60,112,37,0
10081,"Pikachu Belle",25,4,60,112,38,0
10082,"Pikachu Pop Star",25,4,60,112,39,0
10083,"Pikachu Phd",25,4,60,112,40,0
10084,"Pikachu Libre",25,4,60,112,41,0
10085,"Pikachu Cosplay",25,4,60,112,36,0
10086,"Hoopa Unbound",720,65,4900,306,866,0
10087,"Camerupt Mega",323,25,3205,196,435,0
10088,"Lopunny Mega",428,13,283,203,559,0
10089,"Salamence Mega",373,18,1126,315,495,0
10090,"Beedrill Mega",15,14,405,223,20,0
10091,"Rattata Alola",19,3,38,51,26,0
10092,"Raticate Alola",20,7,255,145,28,0
10093,"Raticate Totem Alola",20,14,1050,145,29,0
10094,"Pikachu Original Cap",25,4,60,112,42,0
10095,"Pikachu Hoenn Cap",25,4,60,112,43,0
10096,"Pikachu Sinnoh Cap",25,4,60,112,44,0
10097,"Pikachu Unova Cap",25,4,60,112,45,0
10098,"Pikachu Kalos Cap",25,4,60,112,46,0
10099,"Pikachu Alola Cap",25,4,60,112,47,0
10100,"Raichu Alola",26,7,210,243,52,0
10101,"Sandshrew Alola",27,7,400,60,54,0
10102,"Sandslash Alola",28,12,550,158,56,0
10103,"Vulpix Alola",37,6,99,60,67,0
10104,"Ninetales Alola",38,11,199,177,69,0
10105,"Diglett Alola",50,2,10,53,85,0
10106,"Dugtrio Alola",51,7,666,149,87,0
10107,"Meowth Alola",52,4,42,58,89,0
10108,"Persian Alola",53,11,330,154,92,0
10109,"Geodude Alola",74,4,203,60,116,0
10110,"Graveler Alola",75,10,1100,137,118,0
10111,"Golem Alola",76,17,3160,223,120,0
10112,"Grimer Alola",88,7,420,65,142,0
10113,"Muk Alola",89,10,520,175,144,0
10114,"Exeggutor Alola",103,109,4156,186,162,0
10115,"Marowak Alola",105,10,340,149,165,0
10116,"Greninja Battle Bond",658,15,400,239,789,0
10117,"Greninja Ash",658,15,400,288,790,0
10118,"Zygarde 10 Power Construct",718,12,335,243,860,0
10119,"Zygarde 50 Power Construct",718,50,3050,300,861,0
10120,"Zygarde Complete",718,45,6100,354,862,0
10121,"Gumshoos Totem",735,14,600,146,882,0
10122,"Vikavolt Totem",738,26,1475,225,886,0
10123,"Oricorio Pom Pom",741,6,34,167,890,0
10124,"Oricorio Pau",741,6,34,167,891,0
10125,"Oricorio Sensu",741,6,34,167,892,0
10126,"Lycanroc Midnight",745,11,250,170,899,0
10127,"Wishiwashi School",746,82,786,217,902,0
10128,"Lurantis Totem",754,15,580,168,912,0
10129,"Salazzle Totem",758,21,810,168,917,0
10130,"Minior Orange Meteor",774,3,400,154,934,0
10131,"Minior Yellow Meteor",774,3,400,154,935,0
10132,"Minior Green Meteor",774,3,400,154,936,0
10133,"Minior Blue Meteor",774,3,400,154,937,0
10134,"Minior Indigo Meteor",774,3,400,154,938,0
10135,"Minior Violet Meteor",774,3,400,154,939,0
10136,"Minior Red",774,3,3,175,940,0
10137,"Minior Orange",774,3,3,175,941,0
10138,"Minior Yellow",774,3,3,175,942,0
10139,"Minior Green",774,3,3,175,943,0
10140,"Minior Blue",774,3,3,175,944,0
10141,"Minior Indigo",774,3,3,175,945,0
10142,"Minior Violet",774,3,3,175,946,0
10143,"Mimikyu Busted",778,2,7,167,952,0
10144,"Mimikyu Totem Disguised",778,4,28,167,953,0
10145,"Mimikyu Totem Busted",778,4,28,167,954,0
10146,"Kommo O Totem",784,24,2075,270,961,0
10147,"Magearna Original",801,10,805,300,982,0
10148,"Pikachu Partner Cap",25,4,60,112,48,0
10149,"Marowak Totem",105,17,980,149,166,0
10150,"Ribombee Totem",743,4,20,162,895,0
10151,"Rockruff Own Tempo",744,5,92,56,897,0
10152,"Lycanroc Dusk",745,8,250,170,900,0
10153,"Araquanid Totem",752,31,2175,159,909,0
10154,"Togedemaru Totem",777,6,130,152,950,0
10155,"Necrozma Dusk",800,38,4600,340,978,0
10156,"Necrozma Dawn",800,42,3500,340,979,0
10157,"Necrozma Ultra",800,75,2300,339,980,0
10158,"Pikachu Starter",25,4,60,86,49,0
10159,"Eevee Starter",133,3,65,87,216,0
10160,"Pikachu World Cap",25,4,60,112,50,0
10161,"Meowth Galar",52,4,75,58,90,0
10162,"Ponyta Galar",77,8,240,82,122,0
10163,"Rapidash Galar",78,17,800,175,124,0
10164,"Slowpoke Galar",79,12,360,63,126,0
10165,"Slowbro Galar",80,16,705,172,129,0
10166,"Farfetchd Galar",83,8,420,132,136,0
10167,"Weezing Galar",110,30,160,172,175,0
10168,"Mr Mime Galar",122,14,568,161,195,0
10169,"Articuno Galar",144,17,509,290,237,0
10170,"Zapdos Galar",145,16,582,290,239,0
10171,"Moltres Galar",146,20,660,290,241,0
10172,"Slowking Galar",199,18,795,172,131,0
10173,"Corsola Galar",222,6,5,144,322,0
10174,"Zigzagoon Galar",263,4,175,56,362,0
10175,"Linoone Galar",264,5,325,147,364,0
10176,"Darumaka Galar",554,7,400,63,672,0
10177,"Darmanitan Galar Standard",555,17,1200,168,675,0
10178,"Darmanitan Galar Zen",555,17,1200,189,676,0
10179,"Yamask Galar",562,5,15,61,684,0
10180,"Stunfisk Galar",618,7,205,165,741,0
10181,"Zygarde 10",718,12,335,243,859,0
10182,"Cramorant Gulping",845,8,180,166,1027,0
10183,"Cramorant Gorging",845,8,180,166,1028,0
10184,"Toxtricity Low Key",849,16,400,176,1033,0
10185,"Eiscue Noice",875,14,890,165,1060,0
10186,"Indeedee Female",876,9,280,166,1062,0
10187,"Morpeko Hangry",877,3,30,153,1064,0
10188,"Zacian Crowned",888,28,3550,360,1076,0
10189,"Zamazenta Crowned",889,29,7850,360,1078,0
10190,"Eternatus Eternamax",890,1000,0,563,1080,0
10191,"Urshifu Rapid Strike",892,19,1050,275,1083,0
10192,"Zarude Dada",893,18,700,300,1085,0
10193,"Calyrex Ice",898,24,8091,340,1091,0
10194,"Calyrex Shadow",898,24,536,340,1092,0
10195,"Venusaur Gmax",3,240,10000,236,,0
10196,"Charizard Gmax",6,280,10000,240,,0
10197,"Blastoise Gmax",9,250,10000,239,,0
10198,"Butterfree Gmax",12,170,10000,178,,0
10199,"Pikachu Gmax",25,210,10000,112,,0
10200,"Meowth Gmax",52,330,10000,58,,0
10201,"Machamp Gmax",68,250,10000,227,,0
10202,"Gengar Gmax",94,200,10000,225,,0
10203,"Kingler Gmax",99,190,10000,166,,0
10204,"Lapras Gmax",131,240,10000,187,,0
10205,"Eevee Gmax",133,180,10000,65,,0
10206,"Snorlax Gmax",143,350,10000,189,,0
10207,"Garbodor Gmax",569,210,10000,166,,0
10208,"Melmetal Gmax",809,250,10000,270,,0
10209,"Rillaboom Gmax",812,280,10000,265,,0
10210,"Cinderace Gmax",815,270,10000,265,,0
10211,"Inteleon Gmax",818,400,10000,265,,0
10212,"Corviknight Gmax",823,140,10000,248,,0
10213,"Orbeetle Gmax",826,140,10000,253,,0
10214,"Drednaw Gmax",834,240,10000,170,,0
10215,"Coalossal Gmax",839,420,10000,255,,0
10216,"Flapple Gmax",841,240,10000,170,,0
10217,"Appletun Gmax",842,240,10000,170,,0
10218,"Sandaconda Gmax",844,220,10000,179,,0
10219,"Toxtricity Amped Gmax",849,240,10000,176,,0
10220,"Centiskorch Gmax",851,750,10000,184,,0
10221,"Hatterene Gmax",858,260,10000,255,,0
10222,"Grimmsnarl Gmax",861,320,10000,255,,0
10223,"Alcremie Gmax",869,300,10000,173,,0
10224,"Copperajah Gmax",879,230,10000,175,,0
10225,"Duraludon Gmax",884,430,10000,187,,0
10226,"Urshifu Single Strike Gmax",892,290,10000,275,,0
10227,"Urshifu Rapid Strike Gmax",892,260,10000,275,,0
10228,"Toxtricity Low Key Gmax",849,240,10000,176,,0
10229,"Growlithe Hisui",58,8,227,70,,0
10230,"Arcanine Hisui",59,20,1680,194,,0
10231,"Voltorb Hisui",100,5,130,66,,0
10232,"Electrode Hisui",101,12,710,172,,0
10233,"Typhlosion Hisui",157,16,698,240,,0
10234,"Qwilfish Hisui",211,5,39,88,,0
10235,"Sneasel Hisui",215,9,270,86,,0
10236,"Samurott Hisui",503,15,582,238,,0
10237,"Lilligant Hisui",549,12,192,168,,0
10238,"Zorua Hisui",570,7,125,66,,0
10239,"Zoroark Hisui",571,16,730,179,,0
10240,"Braviary Hisui",628,17,434,179,,0
10241,"Sliggoo Hisui",705,7,685,158,,0
10242,"Goodra Hisui",706,17,3341,270,,0
10243,"Avalugg Hisui",713,14,2624,180,,0
10244,"Decidueye Hisui",724,16,370,239,,0
10245,"Dialga Origin",483,70,8487,306,,0
10246,"Palkia Origin",484,63,6590,306,,0
10247,"Basculin White Striped",550,10,180,161,,0
10248,"Basculegion Female",902,30,1100,265,,0
10249,"Enamorus Therian",905,16,480,116,,0
10250,"Tauros Paldea Combat Breed",128,14,1150,172,,0
10251,"Tauros Paldea Blaze Breed",128,14,850,172,,0
10252,"Tauros Paldea Aqua Breed",128,14,1100,172,,0
10253,"Wooper Paldea",194,4,110,42,,0
10254,"Oinkologne Female",916,10,1200,171,,0
10255,"Dudunsparce Three Segment",982,45,474,182,,0
10256,"Palafin Hero",964,18,974,160,,0
10257,"Maushold Family Of Three",925,3,28,165,,0
10258,"Tatsugiri Droopy",978,3,80,166,,0
10259,"Tatsugiri Stretchy",978,3,80,166,,0
10260,"Squawkabilly Blue Plumage",931,6,24,146,,0
10261,"Squawkabilly Yellow Plumage",931,6,24,146,,0
10262,"Squawkabilly White Plumage",931,6,24,146,,0
10263,"Gimmighoul Roaming",999,1,10,60,,0
10264,"Koraidon Limited Build",1007,35,3030,335,,0
10265,"Koraidon Sprinting Build",1007,35,3030,335,,0
10266,"Koraidon Swimming Build",1007,35,3030,335,,0
10267,"Koraidon Gliding Build",1007,35,3030,335,,0
10268,"Miraidon Low Power Mode",1008,28,2400,335,,0
10269,"Miraidon Drive Mode",1008,28,2400,335,,0
10270,"Miraidon Aquatic Mode",1008,28,2400,335,,0
